f_Hz,mag_Zt_dBohm,phase_Zt_deg,case_label,vendor_model,Rf_ohm,Cpd_F,Cf_F,A0,ft_Hz
15.4881661891249,79.9999962790834,179.999699454615,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
15.6675107010815,79.9999962790898,179.999695974463,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
15.8489319246112,79.9999962790964,179.999692454014,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
16.0324539069005,79.9999962791032,179.999688892799,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
16.2181009735893,79.9999962791101,179.999685290347,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
16.4058977319954,79.9999962791172,179.999681646181,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
16.5958690743757,79.9999962791245,179.999677959818,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
16.7880401812257,79.9999962791319,179.999674230768,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
16.9824365246175,79.9999962791395,179.999670458538,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
17.1790838715759,79.9999962791473,179.999666642628,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
17.3780082874938,79.9999962791552,179.999662782531,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
17.579236139587,79.9999962791633,179.999658877737,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
17.7827941003893,79.9999962791717,179.999654927728,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
17.9887091512879,79.9999962791802,179.999650931979,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
18.1970085860999,79.9999962791889,179.999646889962,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
18.4077200146896,79.9999962791978,179.99964280114,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
18.6208713666287,79.999996279207,179.999638664972,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
18.8364908948981,79.9999962792163,179.99963448091,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
19.0546071796325,79.9999962792259,179.999630248398,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
19.2752491319094,79.9999962792356,179.999625966877,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
19.4984459975805,79.9999962792457,179.999621635777,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
19.7242273611486,79.9999962792559,179.999617254526,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
19.9526231496889,79.9999962792664,179.999612822542,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
20.1836636368157,79.9999962792771,179.999608339239,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
20.4173794466954,79.9999962792881,179.999603804021,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
20.6538015581054,79.9999962792993,179.999599216288,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
20.8929613085405,79.9999962793108,179.999594575431,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
21.1348903983666,79.9999962793226,179.999589880836,OP27_Cf3p455_Risky,OP27,10000,1e-11,3.455e-12,100000,1603718.74375133
