f_Hz,mag_Zt_dBohm,phase_Zt_deg,case_label,vendor_model,Rf_ohm,Cpd_F,Cf_F,A0,ft_Hz
32.734069487884,79.9999962713737,179.997179408676,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
33.1131121482593,79.9999962712006,179.997146747768,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
33.496543915783,79.9999962710234,179.997113708664,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
33.8844156139205,79.9999962708421,179.997080286986,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
34.2767786546453,79.9999962706566,179.997046478303,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
34.6736850452534,79.9999962704668,179.997012278133,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
35.0751873952571,79.9999962702726,179.996977681945,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
35.4813389233578,79.9999962700738,179.996942685151,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
35.8921934645008,79.9999962698704,179.996907283114,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
36.3078054770104,79.9999962696623,179.99687147114,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
36.7282300498087,79.9999962694493,179.996835244483,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
37.1535229097175,79.9999962692313,179.996798598341,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
37.5837404288447,79.9999962690083,179.996761527857,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
38.0189396320564,79.9999962687801,179.996724028117,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
38.4591782045357,79.9999962685466,179.996686094151,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
38.9045144994284,79.9999962683076,179.99664772093,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
39.3550075455781,79.9999962680631,179.996608903368,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
39.81071705535,79.9999962678128,179.996569636319,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
40.2717034325462,79.9999962675568,179.99652991458,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
40.7380277804116,79.9999962672947,179.996489732885,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
41.2097519097334,79.9999962670266,179.996449085907,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
41.6869383470339,79.9999962667522,179.99640796826,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
42.1696503428586,79.9999962664715,179.996366374493,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
42.6579518801596,79.9999962661842,179.996324299093,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
43.1519076827769,79.9999962658902,179.996281736482,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
43.651583224017,79.9999962655893,179.99623868102,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
44.1570447353316,79.9999962652815,179.996195126999,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
44.6683592150967,79.9999962649665,179.996151068646,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
45.1855944374926,79.9999962646441,179.996106500122,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
45.7088189614879,79.9999962643142,179.996061415518,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
46.2381021399264,79.9999962639767,179.996015808859,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
46.7735141287202,79.9999962636312,179.9959696741,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
47.3151258961485,79.9999962632778,179.995923005126,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
47.8630092322643,79.9999962629161,179.99587579575,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
48.4172367584104,79.999996262546,179.995828039716,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
48.9778819368451,79.9999962621672,179.995779730693,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
49.5450190804795,79.9999962617797,179.995730862277,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
50.1187233627277,79.9999962613831,179.995681427993,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
50.6990708274709,79.9999962609772,179.995631421286,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
51.286138399137,79.999996260562,179.995580835528,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
51.8800038928966,79.999996260137,179.995529664016,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
52.4807460249778,79.9999962597021,179.995477899965,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
53.0884444230993,79.9999962592572,179.995425536514,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
53.7031796370258,79.9999962588018,179.995372566724,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
54.3250331492439,79.9999962583359,179.995318983572,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
54.954087385763,79.9999962578591,179.995264779957,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
55.5904257270409,79.9999962573711,179.995209948693,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
56.2341325190355,79.9999962568719,179.995154482513,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
56.8852930843847,79.9999962563609,179.995098374065,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
57.5439937337163,79.9999962558381,179.995041615912,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
58.2103217770877,79.9999962553031,179.99498420053,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
58.8843655355595,79.9999962547557,179.99492612031,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
59.5662143529017,79.9999962541955,179.994867367553,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
60.2559586074364,79.9999962536222,179.99480793447,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
60.9536897240176,79.9999962530356,179.994747813185,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
61.6595001861489,79.9999962524354,179.994686995728,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
62.3734835482426,79.9999962518211,179.994625474039,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
63.09573444802,79.9999962511926,179.994563239961,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
63.8263486190556,79.9999962505494,179.994500285247,OP27_Cf22p_Safe,OP27,10000,1e-11,2.2e-11,100000,1603718.74375133
