f_Hz,mag_Zt_ideal_ohm,phase_Zt_ideal_deg,mag_Zt_nonideal_ohm,phase_Zt_nonideal_deg,mag_G_nonideal_ohm,phase_G_nonideal_deg
47134.2573099534,99956.1754451644,178.303662555114,99957.9511167506,178.276574895286,99957.9511167506,-1.72342510471438
47515.8408693936,99955.4634702099,178.289937682331,99957.2842056028,178.262629942808,99957.2842056028,-1.73737005719209
47900.5136047569,99954.7399363458,178.27610189616,99956.6064661843,178.248572276006,99956.6064661843,-1.75142772399358
48288.3005250031,99954.0046561704,178.262154303543,99955.9177229073,178.234400986772,99955.9177229073,-1.7655990132283
48679.2268415562,99953.2574392523,178.248094004307,99955.2177973441,178.22011515975,99955.2177973441,-1.77988484025018
49073.3179699439,99952.4980920816,178.233920091118,99954.5065081815,178.205713872286,99954.5065081815,-1.7942861277137
49470.5995314498,99951.72641802,178.219631649417,99953.7836711742,178.19119619437,99953.7836711742,-1.80880380563029
49871.0973547785,99950.9422172513,178.205227757371,99953.0490990979,178.176561188575,99953.0490990979,-1.82343881142516
50274.8374777359,99950.1452867295,178.190707485814,99952.302601701,178.161807910006,99952.302601701,-1.83819208999446
50681.8461489212,99949.3354201277,178.176069898192,99951.5439856563,178.146935406237,99951.5439856563,-1.85306459376295
51092.1498294339,99948.5124077847,178.161314050505,99950.7730545112,178.131942717258,99950.7730545112,-1.86805728274196
51505.7751945938,99947.6760366519,178.146438991254,99949.9896086381,178.116828875412,99949.9896086381,-1.88317112458775
51922.7491356752,99946.8260902388,178.131443761379,99949.1934451825,178.10159290534,99949.1934451825,-1.89840709466037
52343.0987616559,99945.9623485579,178.116327394202,99948.384358012,178.086233823917,99948.384358012,-1.91376617608283
52766.8514009784,99945.084588068,178.101088915373,99947.562137663,178.070750640199,99947.562137663,-1.92924935980066
53194.034603328,99944.192581618,178.085727342807,99946.7265712876,178.055142355358,99946.7265712876,-1.94485764464197
53624.6761414231,99943.2860983885,178.070241686628,99945.8774425992,178.039407962622,99945.8774425992,-1.96059203737779
54058.8040128207,99942.3649038329,178.054630949108,99945.014531817,178.023546447217,99945.014531817,-1.97645355278293
54496.4464417369,99941.428759618,178.038894124607,99944.1376156105,178.007556786303,99944.1376156105,-1.99244321369719
54937.6318808822,99940.477423563,178.023030199516,99943.246467042,177.991437948913,99943.246467042,-2.00856205108696
55382.3890133108,99939.5106495778,178.007038152193,99942.3408555089,177.975188895893,99942.3408555089,-2.02481110410729
55830.7467542852,99938.5281876008,177.990916952907,99941.4205466849,177.958808579836,99941.4205466849,-2.04119142016429
56282.734253157,99937.5297835348,177.97466556377,99940.4853024606,177.942295945022,99940.4853024606,-2.05770405497804
56738.380895261,99936.5151791823,177.958282938682,99939.5348808824,177.925649927354,99939.5348808824,-2.07435007264585
57197.7163038263,99935.4841121806,177.941768023265,99938.5690360911,177.908869454294,99938.5690360911,-2.09113054570591
57660.7703419018,99934.436315934,177.925119754803,99937.5875182592,177.891953444799,99937.5875182592,-2.10804655520142
