f_Hz,matlab_mag_dBohm,spice_mag_dBohm,mag_error_dB,matlab_phase_deg,spice_phase_deg,phase_error_deg
27.2270130807793,79.9999131426571,79.9999962796633,8.31370062286396e-05,-0.00131138440525403,-0.000528335830018993,0.000783048575235041
27.5422870333818,79.9999131426832,79.9999962796833,8.31370001463938e-05,-0.00132656952100074,-0.00053445367002622,0.000792115850974517
27.8612116862979,79.9999131427098,79.9999962797037,8.3136993865196e-05,-0.0013419304720934,-0.000540642352003645,0.000801288120089755
28.1838293126447,79.9999131427371,79.9999962797247,8.31369875697874e-05,-0.0013574692946275,-0.000546902694982266,0.000810566599645237
28.5101826750393,79.9999131427651,79.9999962797461,8.31369810470051e-05,-0.00137318804823899,-0.000553235530002852,0.00081995251823614
28.8403150312662,79.9999131427936,79.9999962797679,8.31369742542165e-05,-0.00138908881644261,-0.000559641695993952,0.000829447120448658
29.1742701400118,79.9999131428229,79.9999962797904,8.31369675040605e-05,-0.0014051737068643,-0.000566122040993221,0.000839051665871076
29.512092266664,79.9999131428528,79.9999962798133,8.31369604838983e-05,-0.00142144485153885,-0.000572677424997201,0.000848767426541648
29.8538261891798,79.9999131428835,79.9999962798368,8.31369533358384e-05,-0.00143790440718498,-0.00057930871698432,0.000858595690200662
30.1995172040204,79.9999131429148,79.9999962798608,8.31369460030373e-05,-0.0014545545555106,-0.000586016796009003,0.000868537759501599
30.5492111321553,79.9999131429469,79.9999962798853,8.31369384286518e-05,-0.00147139750346715,-0.000592802551023561,0.000878594952443589
30.9029543251361,79.9999131429797,79.9999962799105,8.31369308258445e-05,-0.00148843548355709,-0.000599666881005413,0.000888768602551676
31.2607936712398,79.9999131430133,79.9999962799362,8.31369229388201e-05,-0.00150567075417018,-0.00060661069600031,0.000899060058169867
31.622776601684,79.9999131430476,79.9999962799625,8.31369148812655e-05,-0.00152310559980683,-0.000613634916995109,0.000909470682811719
31.9889510969142,79.9999131430828,79.9999962799895,8.3136906710024e-05,-0.00154074233143681,-0.000620740474009444,0.000920001857427362
32.359365692963,79.9999131431188,79.9999962800171,8.31368983256198e-05,-0.00155858328681066,-0.000627928310014167,0.000930654976796489
32.734069487884,79.9999131431556,79.9999962800453,8.3136889699631e-05,-0.00157663083070274,-0.000635199377012905,0.00094143145368983
33.1131121482593,79.9999131431933,79.9999962800741,8.31368808178468e-05,-0.00159488735530375,-0.000642554640011393,0.000952332715292353
33.496543915783,79.9999131432318,79.9999962801037,8.31368718650083e-05,-0.00161335528049189,-0.000649995072004918,0.000963360208486968
33.8844156139205,79.9999131432713,79.9999962801339,8.3136862599531e-05,-0.00163203705417928,-0.000657521659983211,0.000974515394196069
34.2767786546453,79.9999131433117,79.9999962801648,8.31368531208909e-05,-0.00165093515261494,-0.000665135401978885,0.000985799750636054
34.6736850452534,79.999913143353,79.9999962801965,8.31368435143531e-05,-0.00167005208071247,-0.000672837306991107,0.00099721477372136
35.0751873952571,79.9999131433953,79.9999962802289,8.31368336378091e-05,-0.00168939037240894,-0.000680628396003375,0.00100876197640556
35.4813389233578,79.9999131434385,79.999996280262,8.31368234628371e-05,-0.00170895259096488,-0.000688509700991183,0.0010204428899737
35.8921934645008,79.9999131434828,79.9999962802959,8.3136813103124e-05,-0.00172874132934034,-0.000696482268026243,0.0010322590613141
36.3078054770104,79.9999131435281,79.9999962803306,8.31368025018264e-05,-0.00174875921050895,-0.000704547152009488,0.00104421205849946
36.7282300498087,79.9999131435745,79.9999962803662,8.31367917442094e-05,-0.00176900888781445,-0.000712705423999067,0.00105630346381539
37.1535229097175,79.9999131436219,79.9999962804025,8.31367806028993e-05,-0.00178949304532715,-0.000720958164009574,0.00106853488131758
37.5837404288447,79.9999131436704,79.9999962804397,8.31367692626372e-05,-0.00181021439821197,-0.000729306466024595,0.00108090793218737
38.0189396320564,79.9999131437201,79.9999962804777,8.31367575813147e-05,-0.00183117569305707,-0.000737751437004383,0.00109342425605269
38.4591782045357,79.999913143771,79.9999962805167,8.31367457436727e-05,-0.00185237970824947,-0.000746294195002964,0.0011060855132465
38.9045144994284,79.999913143823,79.9999962805565,8.31367335365485e-05,-0.00187382925437582,-0.000754935875020357,0.00111889337935546
39.3550075455781,79.9999131438762,79.9999962805973,8.31367211162615e-05,-0.00189552717453779,-0.000763677620020696,0.00113184955451709
39.81071705535,79.9999131439307,79.9999962806391,8.31367084401791e-05,-0.00191747634477625,-0.000772520591008215,0.00114495575376804
40.2717034325462,79.9999131439864,79.9999962806818,8.31366954088253e-05,-0.00193967967442218,-0.000781465957002149,0.00115821371742003
40.7380277804116,79.9999131440434,79.9999962807254,8.31366819795676e-05,-0.00196214010651326,-0.000790514907021061,0.0011716251994922
41.2097519097334,79.9999131441018,79.9999962807701,8.31366683229362e-05,-0.0019848606181556,-0.000799668637996731,0.00118519198015887
41.6869383470339,79.9999131441615,79.9999962808159,8.31366544105094e-05,-0.00200784422091502,-0.000808928363985049,0.00119891585692997
42.1696503428586,79.9999131442226,79.9999962808627,8.31366400859679e-05,-0.00203109396125659,-0.0008182953130109,0.00121279864824569
42.6579518801596,79.9999131442851,79.9999962809106,8.31366254487875e-05,-0.00205461292089728,-0.000827770725999498,0.00122684219489778
43.1519076827769,79.9999131443491,79.9999962809597,8.31366105700226e-05,-0.00207840421726633,-0.000837355859982386,0.00124104835728394
43.651583224017,79.9999131444146,79.9999962810098,8.3136595179667e-05,-0.00210247100386049,-0.000847051984000883,0.00125541901985961
44.1570447353316,79.9999131444816,79.9999962810612,8.31365795761485e-05,-0.00212681647071187,-0.000856860383024524,0.00126995608768734
44.6683592150967,79.9999131445502,79.9999962811137,8.31365635036718e-05,-0.00215144384478291,-0.000866782359019729,0.00128466148576318
45.1855944374926,79.9999131446204,79.9999962811675,8.3136547146978e-05,-0.0021763563904024,-0.000876819226013582,0.00129953716438882
45.7088189614879,79.9999131446922,79.9999962812225,8.31365303355369e-05,-0.00220155740970711,-0.000886972313986827,0.00131458509572028
46.2381021399264,79.9999131447656,79.9999962812788,8.31365131688244e-05,-0.00222705024307092,-0.000897242969001096,0.00132980727406983
46.7735141287202,79.9999131448408,79.9999962813364,8.31364955899971e-05,-0.00225283826952943,-0.000907632553020791,0.00134520571650863
47.3151258961485,79.9999131449177,79.9999962813953,8.31364775564225e-05,-0.00227892490725746,-0.000918142442997091,0.00136078246426037
47.8630092322643,79.9999131449965,79.9999962814556,8.31364591249439e-05,-0.00230531361401357,-0.000928774030995166,0.0013765395830184
48.4172367584104,79.999913145077,79.9999962815173,8.31364402671397e-05,-0.00233200788759852,-0.00093952872701852,0.00139247916058
48.9778819368451,79.9999131451595,79.9999962815805,8.31364210256424e-05,-0.00235901126630637,-0.000950407956998871,0.0014086033093075
49.5450190804795,79.9999131452438,79.9999962816451,8.31364012725544e-05,-0.00238632732939936,-0.000961413162999712,0.00142491416639964
50.1187233627277,79.9999131453302,79.9999962817112,8.31363810505081e-05,-0.00241395969760168,-0.000972545803012754,0.00144141389458893
50.6990708274709,79.9999131454185,79.9999962817789,8.31363604305579e-05,-0.00244191203354412,-0.000983807352001146,0.00145810468154298
51.286138399137,79.9999131455089,79.9999962818482,8.31363393274387e-05,-0.0024701880422884,-0.000995199304011367,0.00147498873827703
51.8800038928966,79.9999131456014,79.999996281919,8.31363176274635e-05,-0.00249879147178227,-0.00100672316904356,0.00149206830273872
52.4807460249778,79.999913145696,79.9999962819915,8.31362954869519e-05,-0.00252772611337933,-0.00101838047401841,0.00150934563936092
53.0884444230993,79.9999131457929,79.9999962820658,8.31362729201146e-05,-0.00255699580234181,-0.00103017276399849,0.00152682303834331
53.7031796370258,79.999913145892,79.9999962821417,8.31362497137889e-05,-0.00258660441832677,-0.0010421016030025,0.00154450281532427
54.3250331492439,79.9999131459934,79.9999962822194,8.31362259958723e-05,-0.00261655588592762,-0.00105416856998499,0.00156238731594264
