Rf_ohm,Cpd_F,ft_Hz,selected_Cf_F,best_peaking_dB,bandwidth_Hz,phase_at_bandwidth_deg,classification,classification_code
100000,1e-12,5878016.07227491,7.4438030132517e-13,6.93737179438158e-12,2212806.48266114,-86.4732740457829,Safe,1
100000,1e-12,6614740.64123015,6.61474064123016e-13,1.14947834013144e-12,2494590.1584973,-89.27462953855,Safe,1
100000,1e-12,7443803.0132517,6.61474064123016e-13,4.49183733920405e-12,2567562.25122102,-86.9405794081594,Safe,1
100000,1e-12,8376776.40068292,5.87801607227492e-13,1.31148535451246e-13,2893408.72642793,-89.880157796341,Safe,1
100000,1e-12,9426684.55117885,5.87801607227492e-13,2.9334841532546e-12,2971345.19845872,-87.3401189092197,Safe,1
100000,1e-12,10608183.5513945,5.87801607227492e-13,5.48895193961958e-12,3036663.5527567,-84.6125232683578,Safe,1
100000,1e-12,11937766.4171444,5.22334507426683e-13,1.93636955283878e-12,3429764.13913887,-87.6707852468027,Safe,1
100000,1e-12,13433993.325989,5.22334507426683e-13,4.03088881019181e-12,3497019.63330457,-84.7552946679511,Safe,1
100000,1e-12,15117750.7061566,4.64158883361277e-13,1.2902701502482e-12,3949311.38482382,-87.9382818294733,Safe,1
100000,1e-12,17012542.7985259,4.64158883361277e-13,2.9971297660471e-12,4018916.31449721,-84.8642060783595,Safe,1
100000,1e-12,19144819.7616996,4.12462638290135e-13,8.67894719897915e-13,4538316.50108617,-88.1666185643762,Safe,1
100000,1e-12,21544346.9003188,4.12462638290135e-13,2.24688299706887e-12,4609552.09028412,-84.9398884283054,Safe,1
100000,1e-12,24244620.1708233,3.66524123707963e-13,5.94025719396805e-13,5205812.78448072,-88.368791042746,Safe,1
100000,1e-12,27283333.7648677,3.66524123707963e-13,1.69914499606673e-12,5276252.80747406,-84.9736472514941,Safe,1
100000,1e-12,30702906.2975785,3.25702065565978e-13,4.10803500751691e-13,5958310.62348423,-88.5065396979959,Safe,1
100000,1e-12,34551072.9459222,3.25702065565978e-13,1.29605611504752e-12,6030925.65296327,-85.0046841297621,Safe,1
100000,1e-12,38881551.8030809,2.89426612471675e-13,2.89298239965981e-13,6810795.00234799,-88.644644686121,Safe,1
100000,1e-12,43754793.7507418,2.89426612471675e-13,9.99043255349148e-13,6880674.64210542,-84.9951153765396,Safe,1
100000,1e-12,49238826.3170674,2.57191380905935e-13,2.04437422909294e-13,7770541.45826737,-88.7303451814949,Safe,1
100000,1e-12,55410203.3000949,2.57191380905935e-13,7.71461973242595e-13,7840899.48032987,-84.9877565915718,Safe,1
100000,1e-12,62355073.4127391,2.28546386413499e-13,1.48506429849205e-13,8856046.27169211,-88.8211155646796,Safe,1
100000,1e-12,70170382.8670384,2.28546386413499e-13,5.97883029263017e-13,8923363.20392726,-84.967157285054,Safe,1
100000,1e-12,78965228.6849973,2.03091762090474e-13,1.08004676253967e-13,10078025.7818311,-88.8766863088771,Safe,1
100000,1e-12,88862381.6274341,2.03091762090474e-13,4.64805838878672e-13,10142239.7732822,-84.930829297906,Safe,1
100000,1e-12,100000000,1.80472176682717e-13,8.29321621235823e-14,11455977.1609203,-88.9227911794944,Safe,1
100000,5e-12,1000000,3.88815518030809e-12,1.40143782058126e-10,410311.078298017,-87.5760553640351,Safe,1
100000,5e-12,1125335.58260076,3.88815518030809e-12,2.402313298095e-10,423080.452026134,-85.4693959436207,Safe,1
100000,5e-12,1266380.1734674,3.45510729459222e-12,7.67026066893098e-11,477352.800796641,-88.2128877627095,Safe,1
100000,5e-12,1425102.670303,3.45510729459222e-12,1.62880695064122e-10,490948.87583903,-85.8847766762919,Safe,1
100000,5e-12,1603718.74375133,3.07029062975785e-12,3.93908483536794e-11,553766.495470305,-88.768096163073,Safe,1
100000,5e-12,1804721.76682717,3.07029062975785e-12,1.1189863056319e-10,568181.431308451,-86.2314393640519,Safe,1
