K,M,region_code,region_label,gain_abs_pct,cutoff_abs_pct,phase_abs_deg
2,10.7552943294462,2,Marginal,0.0035640079502075,6.06873161500789,3.43995515525643
2,11.4052792592565,2,Marginal,0.00356001256217597,5.73099205482013,3.24986806881361
2,12.0945453464241,2,Marginal,0.00355627049162255,5.41138421836758,3.06994931832863
2,12.8254665064857,2,Marginal,0.00355276446495356,5.10892817813423,2.89969308514727
2,13.6005601200726,1,Safe,0.00354947850720322,4.82313938989209,2.73861424660058
2,14.4224957030741,1,Safe,0.00354639783308741,4.55294638815019,2.58624808472568
2,15.2941041007713,1,Safe,0.00354350874847142,4.29729434723235,2.44214991670145
2,16.2183872376106,1,Safe,0.00354079856049738,4.05610754832127,2.30589466111932
2,17.1985284561928,1,Safe,0.00353825549612719,3.82777717582307,2.1770763525253
2,18.2379034810894,1,Safe,0.00353586862802402,3.61250541664884,2.05530761513937
2,19.3400920452449,1,Safe,0.00353362780695088,3.40871285851565,1.94021910527334
2,20,1,Safe,0.00353240848036673,3.29757995059283,1.87727750363119
2,20.5088902190089,1,Safe,0.00353152360016429,3.21666453867831,1.83145893072142
2,21.7483234842606,1,Safe,0.00352954723539245,3.03500112761696,1.72869205427996
2,23.0626605986532,1,Safe,0.00352769054955404,2.86354445201603,1.63159968755277
2,24.4564282977307,1,Safe,0.00352594594190681,2.70174844814763,1.53987868031057
2,25.9344268855507,1,Safe,0.00352430633131506,2.5487479913596,1.45324090988237
2,27.5017467675107,1,Safe,0.00352276511697003,2.40453972911759,1.37141267436016
2,29.1637859823185,1,Safe,0.00352131614261841,2.26842209350003,1.29413409278249
2,30.926268793488,1,Safe,0.00351995366359992,2.13976798611029,1.22115851492222
2,32.7952654043937,1,Safe,0.00351867231663805,2.01833909821196,1.15225194282998
2,34.7772128647828,1,Safe,0.00351746709216227,1.90398321137023,1.08719246587192
2,36.8789372407512,1,Safe,0.0035163333088617,1.79594150063454,1.02576971063968
2,39.1076771245382,1,Safe,0.00351526659013723,1.69387690023934,0.967784306799267
2,41.4711085651117,1,Safe,0.00351426284269651,1.5974779523253,0.913047369675041
2,43.9773715054059,1,Safe,0.00351331823650325,1.5068414699656,0.861380000133458
2,46.635097817267,1,Safe,0.00351242918648076,1.42124588484967,0.812612802131909
2,49.453441030661,1,Safe,0.0035115923357476,1.34041787327267,0.766585418128706
2,50,1,Safe,0.0035114411266024,1.32578641210363,0.758255985892333
2,52.4421078595347,1,Safe,0.00351080453971919,1.26409811838705,0.72314608240606
2,55.6113916329092,1,Safe,0.00351006285190802,1.19204068896752,0.682151192236987
2,58.9722077463467,1,Safe,0.00350936451042339,1.12410925514516,0.643464896725604
2,62.5361312558894,1,Safe,0.00350870692562566,1.06018486916641,0.606958703065885
2,66.3154367439481,1,Safe,0.00350808766869104,0.999843307064657,0.572511099895571
2,70.3231405944451,1,Safe,0.00350750446096448,0.942887122055654,0.540007197365426
2,74.57304582281,1,Safe,0.00350695516404542,0.889129363396405,0.509338383499973
2,79.0797896152294,1,Safe,0.00350643777080606,0.838393063450549,0.480401996391315
2,83.8588937408818,1,Safe,0.00350595039663171,0.790510744350559,0.453101011740728
2,88.926818010783,1,Safe,0.00350549127174915,0.745323944228567,0.427343745245167
2,94.3010169673599,1,Safe,0.00350505873377704,0.702682762870809,0.403043569311841
2,100,1,Safe,0.00350465122085364,0.662565795574119,0.380118643577802
5,0.3,3,Risky,0.0147964880165041,76.2146497493324,39.1432032758325
5,0.318130185280863,3,Risky,0.0140262945404857,75.1007133053532,38.4441981513164
5,0.337356049289453,3,Risky,0.0133328993058512,73.9512565600124,37.7257026048404
5,0.357743808220246,3,Risky,0.0127082837895642,72.7667241533075,36.9884128543016
5,0.37936367997396,3,Risky,0.012145289342218,71.5478963162253,36.2331531378683
5,0.402290125996486,3,Risky,0.0116375236432908,70.2954500563435,35.4608765338586
5,0.426602107733079,3,Risky,0.0111792774049135,69.010638138749,34.6726640023089
5,0.452383358581104,3,Risky,0.0107654501982779,67.694517147689,33.8697215071794
5,0.479722672277952,3,Risky,0.0103914844009267,66.3484987241726,33.0533751200383
5,0.5,3,Risky,0.0101493910129236,65.3817838895321,32.4701206823
5,0.508714208717384,3,Risky,0.0100533063729102,64.9742939218405,32.2250640566343
5,0.539457818247563,3,Risky,0.00974727406720888,63.5735893416593,31.3863316554957
5,0.572059385567691,3,Risky,0.00947013036842748,62.1483848291943,30.5388143704499
5,0.606631194407686,3,Risky,0.00921896153002422,60.7007806090856,29.6842289140077
5,0.643292314246894,3,Risky,0.00899116015027346,59.2331497494855,28.8243577527477
5,0.682169010403731,3,Risky,0.00878439218887195,57.7479321924509,27.9610332157867
5,0.723395178908673,3,Risky,0.00859656758038341,56.247597845401,27.0961205297581
5,0.76711280765833,3,Risky,0.00842581404956633,54.7351486044105,26.2315001353617
5,0.813472465438891,3,Risky,0.00827045377796765,53.2131260275079,25.369049668945
5,0.862633820503182,3,Risky,0.00812898260845074,51.6845222433047,24.5106260059632
5,0.914766190487385,3,Risky,0.00800005150967564,50.1522725523675,23.6580477606846
5,0.970049125561403,3,Risky,0.00788245005274746,48.6192663184301,22.8130786183208
5,1,3,Risky,0.00782559958388163,47.8256863910069,22.3787495092391
5,1.02867302682129,3,Risky,0.00777509168004897,47.0887851209374,21.9774118430226
5,1.09083980205361,3,Risky,0.00767700056936604,45.5635361100433,21.1526562599121
5,1.15676356113018,3,Risky,0.00758729991940044,44.0465084238658,20.3403239542761
5,1.22667135342832,3,Risky,0.00750520150093692,42.5405474189494,19.5418198694065
5,1.30080394981626,3,Risky,0.00742999633541075,41.0485275104337,18.7584334197647
5,1.37941667189708,3,Risky,0.00736104637763191,39.573061312804,17.9913321714825
5,1.4627802713671,3,Risky,0.00729777709352675,38.1168092366049,17.2415575807585
5,1.55118186251735,3,Risky,0.00723967083480659,36.6820333526485,16.5100227249975
5,1.64492591108987,3,Risky,0.00718626092389485,35.2709630147271,15.7975119135445
5,1.74433528289437,3,Risky,0.00713712637217867,33.8859584211516,15.1046820258548
5,1.84975235579711,3,Risky,0.00709188716214726,32.5285293591329,14.4320653955521
5,1.96154019891149,3,Risky,0.00705020003248791,31.2007856857701,13.7800740390737
5,2,3,Risky,0.00703713357415481,30.7681493596619,13.5689194576355
5,2.0800838230519,3,Risky,0.00701175471174764,29.9039653728639,13.1490050170021
5,2.20579150675742,3,Risky,0.00697627055128436,28.639435051353,12.5390467138361
5,2.33909620245231,3,Risky,0.00694349351519463,27.4082849546158,11.9502858267162
5,2.48045702758638,3,Risky,0.00691319348778308,26.2118346374527,11.3827148641643
5,2.63036084589092,3,Risky,0.00688516186494681,25.0502470220193,10.8362399708764
5,2.78932394419601,3,Risky,0.00685920939828222,23.9245528125396,10.3106889126955
5,2.95789381058475,3,Risky,0.00683516426530417,22.8350066696357,9.80581907588325
5,3.13665102000814,3,Risky,0.0068128703410153,21.7817535900167,9.32132535563854
5,3.32621123385532,3,Risky,0.00679218564943795,20.7648729676355,8.85684782960305
5,3.5272273203656,3,Risky,0.00677298097567558,19.7846451503331,8.41197913213227
5,3.74039160318543,3,Risky,0.00675513862169907,18.8403567442826,7.98627146388482
5,3.96643824581455,3,Risky,0.00673855129022627,17.9320727439344,7.5792431884212
5,4.20614578015361,3,Risky,0.00672312108282114,17.0590114150969,7.19038498279014
5,4.46033978786196,3,Risky,0.00670875860077302,16.2209662824482,6.81916552241464
5,4.72989574376043,3,Risky,0.00669538213736942,15.4172740336678,6.46503669196628
5,5,3,Risky,0.00668356277612858,14.6874457795311,6.14511412231715
5,5.01574203107223,3,Risky,0.00668291695179235,14.6471079047943,6.12743832339978
5,5.31886313888673,3,Risky,0.00667129461650262,13.909718088189,5.80580247003354
5,5.64030305285862,3,Risky,0.00666045243004731,13.2046020590662,5.49955723165415
5,5.98116885082043,3,Risky,0.00665033288843375,12.5305621411673,5.20813015026975
5,6.34263451569209,3,Risky,0.00664088320913692,11.8865423312794,4.93095119951697
5,6.72594497881973,3,Risky,0.00663205490205598,11.2722903191629,4.66745539301851
5,7.13242040766936,3,Risky,0.00662380338269486,10.6860441955333,4.41708503836418
5,7.56346075264287,3,Risky,0.00661608762314359,10.1276422072496,4.17929166400634
5,8.02055056867603,2,Marginal,0.00660886983686382,9.59558050922154,3.95353764636701
5,8.50526412822478,2,Marginal,0.00660211519395659,9.08894240049309,3.73929756397399
5,9.01927084324942,2,Marginal,0.00659579156373269,8.60684421128643,3.53605930459322
5,9.56434101487073,2,Marginal,0.00658986928186778,8.14847842233281,3.3433249501963
5,10,2,Marginal,0.00658562466556489,7.81579057418725,3.20373390531285
5,10.1423519305006,2,Marginal,0.00658432093935346,7.71278873748633,3.16061146328056
5,10.7552943294462,2,Marginal,0.00657912119157444,7.2987838825158,2.98745119660859
5,11.4052792592565,2,Marginal,0.00657424658497163,6.90560762387651,2.82339224691279
5,12.0945453464241,2,Marginal,0.00656967539978126,6.53247283635406,2.66799867155984
5,12.8254665064857,2,Marginal,0.00656538750734015,6.1783706576718,2.52085058562682
5,13.6005601200726,2,Marginal,0.0065613642401452,5.84239957252921,2.3815441553309
5,14.4224957030741,2,Marginal,0.00655758827399211,5.52367372006573,2.24969150229816
5,15.2941041007713,2,Marginal,0.00655404352027489,5.22160956893247,2.12492053176805
5,16.2183872376106,1,Safe,0.00655071502828619,4.93548813538273,2.00687469651965
5,17.1985284561928,1,Safe,0.00654758889570672,4.66414820902812,1.89521270707746
5,18.2379034810894,1,Safe,0.00654465218723033,4.40736171752018,1.78960819761343
5,19.3400920452449,1,Safe,0.00654189286006357,4.16410805866053,1.68974935590737
5,20,1,Safe,0.00654039044196253,4.03093823452275,1.6351170891033
5,20.5088902190089,1,Safe,0.00653929969587352,3.93379576218464,1.5953385247594
5,21.7483234842606,1,Safe,0.00653686223852645,3.71586956542846,1.50609178136298
5,23.0626605986532,1,Safe,0.0065345707369957,3.50960208287483,1.42173850034155
5,24.4564282977307,1,Safe,0.00653241609313682,3.31442111236991,1.34202090542195
5,25.9344268855507,1,Safe,0.0065303898136726,3.12992699522641,1.26669361406061
5,27.5017467675107,1,Safe,0.00652848396613948,2.95511606194776,1.19552317874482
5,29.1637859823185,1,Safe,0.00652669113856419,2.79026281288327,1.12828762816301
5,30.926268793488,1,Safe,0.00652500440207149,2.63416753713671,1.06477601096319
5,32.7952654043937,1,Safe,0.00652341727665373,2.48644948936664,1.00478794439832
5,34.7772128647828,1,Safe,0.00652192369969384,2.34719998637116,0.948133169783013
5,36.8789372407512,1,Safe,0.00652051799677977,2.21541944639373,0.894631116356059
5,39.1076771245382,1,Safe,0.0065191948548815,2.09073183161807,0.844110474851924
5,41.4711085651117,1,Safe,0.00651794929751759,1.97314045220066,0.796408781828575
